id,tas_project_id,title,year,author,bibtex_source,added_by_username,project_id,forum,link,month,publication_type,doi,status,checked_for_duplicates,reviewed_by_id,reviewed_comment,reviewed_date,submitted_date,ticket_id,normalized_forum_id
1,,PoDD: Power-Capping Dependent Distributed Applications,2019.0,"Zhang, Huazhe and Hoffmann, Henry","{""numpages"": ""23"", ""publisher"": ""Association for Computing Machinery"", ""doi"": ""10.1145/3295500.3356174"", ""isbn"": ""9781450362290"", ""title"": ""PoDD: Power-Capping Dependent Distributed Applications"", ""url"": ""https://doi.org/10.1145/3295500.3356174"", ""series"": ""SC \u201919"", ""booktitle"": ""Proceedings of the International Conference for High Performance Computing, Networking, Storage and Analysis"", ""author"": ""Zhang, Huazhe and Hoffmann, Henry"", ""ID"": ""10.1145/3295500.3356174"", ""location"": ""Denver, Colorado"", ""year"": ""2019"", ""keywords"": ""power management, machine learning, adaptive systems"", ""articleno"": ""Article 28"", ""ENTRYTYPE"": ""inproceedings"", ""address"": ""New York, NY, USA""}",admin,550.0,"SC19: International Conference for High Performance Computing, Networking, Storage and Analysis",,,conference paper,10.1145/3295500.3356174,APPROVED,1,,,,,,537.0
2,,Understanding and Auto-Adjusting Performance-Sensitive Configurations,2018.0,"Wang, Shu and Li, Chi and Hoffmann, Henry and Lu, Shan and Sentosa, William and Kistijantoro, Achmad Imam","{""numpages"": ""15"", ""publisher"": ""Association for Computing Machinery"", ""doi"": ""10.1145/3173162.3173206"", ""isbn"": ""9781450349116"", ""title"": ""Understanding and Auto-Adjusting Performance-Sensitive Configurations"", ""url"": ""https://doi.org/10.1145/3173162.3173206"", ""series"": ""ASPLOS \u201918"", ""booktitle"": ""Proceedings of the Twenty-Third International Conference on Architectural Support for Programming Languages and Operating Systems"", ""author"": ""Wang, Shu and Li, Chi and Hoffmann, Henry and Lu, Shan and Sentosa, William and Kistijantoro, Achmad Imam"", ""ENTRYTYPE"": ""inproceedings"", ""location"": ""Williamsburg, VA, USA"", ""year"": ""2018"", ""keywords"": ""distributed systems, control theory, software configuration, performance"", ""ID"": ""10.1145/3173162.3173206"", ""pages"": ""154\u2013168"", ""address"": ""New York, NY, USA""}",admin,551.0,APLOS '18: Twenty-Third International Conference on Architectural Support for Programming Languages and Operating Systems,,,conference paper,10.1145/3173162.3173206,APPROVED,1,,,,,,538.0
3,,Transparent orchestration of task-based parallel applications in containers platforms,2018.0,"Ramon-Cortes, Cristian and Serven, Albert and Ejarque, Jorge and Lezzi, Daniele and Badia, Rosa M","{""publisher"": ""Springer"", ""title"": ""Transparent orchestration of task-based parallel applications in containers platforms"", ""journal"": ""Journal of Grid Computing"", ""author"": ""Ramon-Cortes, Cristian and Serven, Albert and Ejarque, Jorge and Lezzi, Daniele and Badia, Rosa M"", ""number"": ""1"", ""ENTRYTYPE"": ""article"", ""volume"": ""16"", ""year"": ""2018"", ""ID"": ""ramon2018transparent"", ""pages"": ""137--160""}",admin,157.0,Journal of Grid Computing,,,journal article,10.1007/s10723-017-9425-z,APPROVED,1,,chameleon webpage,,,,539.0
4,,Spock: Exploiting Serverless Functions for SLO and Cost Aware Resource Procurement in Public Cloud,2019.0,Jashwant Raj Gunasekaran andPrashanth Thinakaran andMahmut Taylan Kandemir andBhuvan Urgaonkar andGeorge Kesidis andChita R. Das,"{""publisher"": ""{IEEE}"", ""doi"": ""10.1109/CLOUD.2019.00043"", ""biburl"": ""https://dblp.org/rec/conf/IEEEcloud/GunasekaranTKUK19.bib"", ""title"": ""Spock: Exploiting Serverless Functions for {SLO} and Cost Aware Resource\nProcurement in Public Cloud"", ""url"": ""https://doi.org/10.1109/CLOUD.2019.00043"", ""timestamp"": ""Wed, 16 Oct 2019 14:14:54 +0200"", ""booktitle"": ""12th {IEEE} International Conference on Cloud Computing, {CLOUD} 2019,\nMilan, Italy, July 8-13, 2019"", ""author"": ""Jashwant Raj Gunasekaran and\nPrashanth Thinakaran and\nMahmut Taylan Kandemir and\nBhuvan Urgaonkar and\nGeorge Kesidis and\nChita R. Das"", ""ENTRYTYPE"": ""inproceedings"", ""editor"": ""Elisa Bertino and\nCarl K. Chang and\nPeter Chen and\nErnesto Damiani and\nMichael Goul and\nKatsunori Oyama"", ""year"": ""2019"", ""bibsource"": ""dblp computer science bibliography, https://dblp.org"", ""ID"": ""DBLP:conf/IEEEcloud/GunasekaranTKUK19"", ""pages"": ""199--208""}",admin,341.0,2019 IEEE 12th International Conference on Cloud Computing (CLOUD),,,conference paper,10.1109/CLOUD.2019.00043,APPROVED,1,,,,,,540.0
5,,Kube-Knots: Resource Harvesting through Dynamic Container Orchestrationin GPU-based Datacenters,2019.0,Prashanth Thinakaran andJashwant Raj Gunasekaran andBikash Sharma andMahmut Taylan Kandemir andChita R. Das,"{""publisher"": ""{IEEE}"", ""doi"": ""10.1109/CLUSTER.2019.8891040"", ""biburl"": ""https://dblp.org/rec/conf/cluster/ThinakaranGSKD19.bib"", ""title"": ""Kube-Knots: Resource Harvesting through Dynamic Container Orchestration\nin GPU-based Datacenters"", ""url"": ""https://doi.org/10.1109/CLUSTER.2019.8891040"", ""timestamp"": ""Wed, 13 Nov 2019 13:18:48 +0100"", ""booktitle"": ""2019 {IEEE} International Conference on Cluster Computing, {CLUSTER}\n2019, Albuquerque, NM, USA, September 23-26, 2019"", ""author"": ""Prashanth Thinakaran and\nJashwant Raj Gunasekaran and\nBikash Sharma and\nMahmut Taylan Kandemir and\nChita R. Das"", ""ENTRYTYPE"": ""inproceedings"", ""year"": ""2019"", ""bibsource"": ""dblp computer science bibliography, https://dblp.org"", ""ID"": ""DBLP:conf/cluster/ThinakaranGSKD19"", ""pages"": ""1--13""}",admin,341.0,2019 IEEE International Conference on Cluster Computing (CLUSTER),,,conference paper,10.1109/CLUSTER.2019.8891040,APPROVED,1,,,,,,541.0
6,,Implicit Argument Prediction as Reading Comprehension,2019.0,Pengxiang Cheng and Katrin Erk,"{""author"": ""Pengxiang Cheng and Katrin Erk"", ""booktitle"": ""Proceedings of the conference of the Association for the Advancement of Artificial Intelligence (AAAI)"", ""title"": ""Implicit Argument Prediction as Reading Comprehension"", ""ID"": ""ChengErk:2019"", ""year"": ""2019"", ""ENTRYTYPE"": ""inproceedings""}",admin,420.0,"Proceedings of the AAAI Conference on Artificial Intelligence, Vol. 33 No. 1",,,conference paper,,APPROVED,1,,,,,,542.0
7,,Query-focused Scenario Construction,2019.0,"Wang, Su and Durrett, Greg and Erk, Katrin","{""author"": ""Wang, Su  and\nDurrett, Greg  and\nErk, Katrin"", ""booktitle"": ""Proceedings of the 2019 Conference on Empirical Methods in Natural Language Processing and the 9th International Joint Conference on Natural Language Processing (EMNLP-IJCNLP)"", ""address"": ""Hong Kong, China"", ""ID"": ""wang-etal-2019-query"", ""year"": ""2019"", ""title"": ""Query-focused Scenario Construction"", ""ENTRYTYPE"": ""inproceedings""}",admin,420.0,Proceedings of the 2019 Conference on Empirical Methods in Natural Language Processing and the 9th International Joint Conference on Natural Language Processing (EMNLP-IJCNLP),,,conference paper,,APPROVED,1,,chameleon scalable,,,,543.0
8,,Attending to Entities for Better Text Understanding,2020.0,"Cheng, Pengxiang and Erk, Katrin","{""title"": ""Attending to Entities for Better Text Understanding"", ""url"": ""https://arxiv.org/abs/1911.04361"", ""booktitle"": ""Proceedings of the {AAAI} Conference on Artificial Intelligence"", ""author"": ""Cheng, Pengxiang  and\nErk, Katrin"", ""ID"": ""cheng-erk-2020-attending"", ""volume"": ""34"", ""year"": ""2020"", ""ENTRYTYPE"": ""inproceedings""}",admin,420.0,Thirty-Fourth AAAI Conference on Artificial Intelligence (AAAI-20),,,conference paper,,APPROVED,1,,,,,,542.0
9,,Toward an Elastic Data Transfer Infrastructure,2019.0,J. Chung and Z. Liu and R. Kettimuthu and I. Foster,"{""author"": ""J. {Chung} and Z. {Liu} and R. {Kettimuthu} and I. {Foster}"", ""booktitle"": ""2019 15th International Conference on eScience (eScience)"", ""title"": ""Toward an Elastic Data Transfer Infrastructure"", ""number"": """", ""ENTRYTYPE"": ""inproceedings"", ""volume"": """", ""year"": ""2019"", ""ID"": ""edti-esci2019"", ""pages"": ""262-265""}",admin,513.0,2019 15th International Conference on eScience (eScience),,,conference paper,,APPROVED,1,,chameleon webpage,,,,544.0
10,,Elastic Data Transfer Infrastructure (DTI) on the Chameleon Cloud,2019.0,J. Chung and Z. Liu and R. Kettimuthu and I. Foster,"{""author"": ""J. {Chung} and Z. {Liu} and R. {Kettimuthu} and I. {Foster}"", ""booktitle"": ""2019 IEEE 27th International Conference on Network Protocols (ICNP)"", ""title"": ""Elastic Data Transfer Infrastructure ({DTI}) on the {Chameleon Cloud}"", ""number"": """", ""ENTRYTYPE"": ""inproceedings"", ""volume"": """", ""year"": ""2019"", ""ID"": ""edti-cc2019"", ""pages"": ""1-2""}",admin,513.0,2019 IEEE 27th International Conference on Network Protocols (ICNP),,,conference paper,,APPROVED,1,,chameleon webpage,,,,545.0
