id,name,citation_count,entry_created_date,is_found_by_algorithm,cites_chameleon,acknowledges_chameleon,approved_with,source_id,publication_type,forum,title,year,month,author,bibtex_source,link,added_by_username,doi,checked_for_duplicates,project_id,publication_id
1,google_scholar,15,1684454400000,0,0,1,,,conference full paper,"Proceedings of the International Conference for High Performance Computing, Networking, Storage and Analysis,SC ’19,Association for Computing Machinery,New York, NY, USA",PoDD: Power-Capping Dependent Distributed Applications,2019.0,,"Zhang, Huazhe and Hoffmann, Henry","{""numpages"": ""23"", ""publisher"": ""Association for Computing Machinery"", ""doi"": ""10.1145/3295500.3356174"", ""isbn"": ""9781450362290"", ""title"": ""PoDD: Power-Capping Dependent Distributed Applications"", ""url"": ""https://doi.org/10.1145/3295500.3356174"", ""series"": ""SC \u201919"", ""booktitle"": ""Proceedings of the International Conference for High Performance Computing, Networking, Storage and Analysis"", ""author"": ""Zhang, Huazhe and Hoffmann, Henry"", ""ID"": ""10.1145/3295500.3356174"", ""location"": ""Denver, Colorado"", ""year"": ""2019"", ""keywords"": ""power management, machine learning, adaptive systems"", ""articleno"": ""Article 28"", ""ENTRYTYPE"": ""inproceedings"", ""address"": ""New York, NY, USA""}",,admin,10.1145/3295500.3356174,1,550.0,1
2,scopus,18,1684454400000,0,0,1,,,conference full paper,"Proceedings of the International Conference for High Performance Computing, Networking, Storage and Analysis,SC ’19,Association for Computing Machinery,New York, NY, USA",PoDD: Power-Capping Dependent Distributed Applications,2019.0,,"Zhang, Huazhe and Hoffmann, Henry","{""numpages"": ""23"", ""publisher"": ""Association for Computing Machinery"", ""doi"": ""10.1145/3295500.3356174"", ""isbn"": ""9781450362290"", ""title"": ""PoDD: Power-Capping Dependent Distributed Applications"", ""url"": ""https://doi.org/10.1145/3295500.3356174"", ""series"": ""SC \u201919"", ""booktitle"": ""Proceedings of the International Conference for High Performance Computing, Networking, Storage and Analysis"", ""author"": ""Zhang, Huazhe and Hoffmann, Henry"", ""ID"": ""10.1145/3295500.3356174"", ""location"": ""Denver, Colorado"", ""year"": ""2019"", ""keywords"": ""power management, machine learning, adaptive systems"", ""articleno"": ""Article 28"", ""ENTRYTYPE"": ""inproceedings"", ""address"": ""New York, NY, USA""}",,admin,10.1145/3295500.3356174,1,550.0,1
3,semantic_scholar,24,1684454400000,0,0,1,,,conference full paper,"Proceedings of the International Conference for High Performance Computing, Networking, Storage and Analysis,SC ’19,Association for Computing Machinery,New York, NY, USA",PoDD: Power-Capping Dependent Distributed Applications,2019.0,,"Zhang, Huazhe and Hoffmann, Henry","{""numpages"": ""23"", ""publisher"": ""Association for Computing Machinery"", ""doi"": ""10.1145/3295500.3356174"", ""isbn"": ""9781450362290"", ""title"": ""PoDD: Power-Capping Dependent Distributed Applications"", ""url"": ""https://doi.org/10.1145/3295500.3356174"", ""series"": ""SC \u201919"", ""booktitle"": ""Proceedings of the International Conference for High Performance Computing, Networking, Storage and Analysis"", ""author"": ""Zhang, Huazhe and Hoffmann, Henry"", ""ID"": ""10.1145/3295500.3356174"", ""location"": ""Denver, Colorado"", ""year"": ""2019"", ""keywords"": ""power management, machine learning, adaptive systems"", ""articleno"": ""Article 28"", ""ENTRYTYPE"": ""inproceedings"", ""address"": ""New York, NY, USA""}",,admin,10.1145/3295500.3356174,1,550.0,1
4,user_reported,0,1679270400000,1,0,1,publication,,conference full paper,"Proceedings of the International Conference for High Performance Computing, Networking, Storage and Analysis,SC ’19,Association for Computing Machinery,New York, NY, USA",PoDD: Power-Capping Dependent Distributed Applications,2019.0,,"Zhang, Huazhe and Hoffmann, Henry","{""numpages"": ""23"", ""publisher"": ""Association for Computing Machinery"", ""doi"": ""10.1145/3295500.3356174"", ""isbn"": ""9781450362290"", ""title"": ""PoDD: Power-Capping Dependent Distributed Applications"", ""url"": ""https://doi.org/10.1145/3295500.3356174"", ""series"": ""SC \u201919"", ""booktitle"": ""Proceedings of the International Conference for High Performance Computing, Networking, Storage and Analysis"", ""author"": ""Zhang, Huazhe and Hoffmann, Henry"", ""ID"": ""10.1145/3295500.3356174"", ""location"": ""Denver, Colorado"", ""year"": ""2019"", ""keywords"": ""power management, machine learning, adaptive systems"", ""articleno"": ""Article 28"", ""ENTRYTYPE"": ""inproceedings"", ""address"": ""New York, NY, USA""}",,admin,10.1145/3295500.3356174,1,550.0,1
5,google_scholar,86,1684454400000,0,0,1,,,conference full paper,"Proceedings of the Twenty-Third International Conference on Architectural Support for Programming Languages and Operating Systems,ASPLOS ’18,Association for Computing Machinery,New York, NY, USA",Understanding and Auto-Adjusting Performance-Sensitive Configurations,2018.0,,"Wang, Shu and Li, Chi and Hoffmann, Henry and Lu, Shan and Sentosa, William and Kistijantoro, Achmad Imam","{""numpages"": ""15"", ""publisher"": ""Association for Computing Machinery"", ""doi"": ""10.1145/3173162.3173206"", ""isbn"": ""9781450349116"", ""title"": ""Understanding and Auto-Adjusting Performance-Sensitive Configurations"", ""url"": ""https://doi.org/10.1145/3173162.3173206"", ""series"": ""ASPLOS \u201918"", ""booktitle"": ""Proceedings of the Twenty-Third International Conference on Architectural Support for Programming Languages and Operating Systems"", ""author"": ""Wang, Shu and Li, Chi and Hoffmann, Henry and Lu, Shan and Sentosa, William and Kistijantoro, Achmad Imam"", ""ENTRYTYPE"": ""inproceedings"", ""location"": ""Williamsburg, VA, USA"", ""year"": ""2018"", ""keywords"": ""distributed systems, control theory, software configuration, performance"", ""ID"": ""10.1145/3173162.3173206"", ""pages"": ""154\u2013168"", ""address"": ""New York, NY, USA""}",,admin,10.1145/3173162.3173206,1,551.0,2
6,scopus,50,1684454400000,0,0,1,,,conference full paper,"Proceedings of the Twenty-Third International Conference on Architectural Support for Programming Languages and Operating Systems,ASPLOS ’18,Association for Computing Machinery,New York, NY, USA",Understanding and Auto-Adjusting Performance-Sensitive Configurations,2018.0,,"Wang, Shu and Li, Chi and Hoffmann, Henry and Lu, Shan and Sentosa, William and Kistijantoro, Achmad Imam","{""numpages"": ""15"", ""publisher"": ""Association for Computing Machinery"", ""doi"": ""10.1145/3173162.3173206"", ""isbn"": ""9781450349116"", ""title"": ""Understanding and Auto-Adjusting Performance-Sensitive Configurations"", ""url"": ""https://doi.org/10.1145/3173162.3173206"", ""series"": ""ASPLOS \u201918"", ""booktitle"": ""Proceedings of the Twenty-Third International Conference on Architectural Support for Programming Languages and Operating Systems"", ""author"": ""Wang, Shu and Li, Chi and Hoffmann, Henry and Lu, Shan and Sentosa, William and Kistijantoro, Achmad Imam"", ""ENTRYTYPE"": ""inproceedings"", ""location"": ""Williamsburg, VA, USA"", ""year"": ""2018"", ""keywords"": ""distributed systems, control theory, software configuration, performance"", ""ID"": ""10.1145/3173162.3173206"", ""pages"": ""154\u2013168"", ""address"": ""New York, NY, USA""}",,admin,10.1145/3173162.3173206,1,551.0,2
7,semantic_scholar,81,1684454400000,0,0,1,,,conference full paper,"Proceedings of the Twenty-Third International Conference on Architectural Support for Programming Languages and Operating Systems,ASPLOS ’18,Association for Computing Machinery,New York, NY, USA",Understanding and Auto-Adjusting Performance-Sensitive Configurations,2018.0,,"Wang, Shu and Li, Chi and Hoffmann, Henry and Lu, Shan and Sentosa, William and Kistijantoro, Achmad Imam","{""numpages"": ""15"", ""publisher"": ""Association for Computing Machinery"", ""doi"": ""10.1145/3173162.3173206"", ""isbn"": ""9781450349116"", ""title"": ""Understanding and Auto-Adjusting Performance-Sensitive Configurations"", ""url"": ""https://doi.org/10.1145/3173162.3173206"", ""series"": ""ASPLOS \u201918"", ""booktitle"": ""Proceedings of the Twenty-Third International Conference on Architectural Support for Programming Languages and Operating Systems"", ""author"": ""Wang, Shu and Li, Chi and Hoffmann, Henry and Lu, Shan and Sentosa, William and Kistijantoro, Achmad Imam"", ""ENTRYTYPE"": ""inproceedings"", ""location"": ""Williamsburg, VA, USA"", ""year"": ""2018"", ""keywords"": ""distributed systems, control theory, software configuration, performance"", ""ID"": ""10.1145/3173162.3173206"", ""pages"": ""154\u2013168"", ""address"": ""New York, NY, USA""}",,admin,10.1145/3173162.3173206,1,551.0,2
8,user_reported,0,1623024000000,1,0,1,publication,,conference full paper,"Proceedings of the Twenty-Third International Conference on Architectural Support for Programming Languages and Operating Systems,ASPLOS ’18,Association for Computing Machinery,New York, NY, USA",Understanding and Auto-Adjusting Performance-Sensitive Configurations,2018.0,,"Wang, Shu and Li, Chi and Hoffmann, Henry and Lu, Shan and Sentosa, William and Kistijantoro, Achmad Imam","{""numpages"": ""15"", ""publisher"": ""Association for Computing Machinery"", ""doi"": ""10.1145/3173162.3173206"", ""isbn"": ""9781450349116"", ""title"": ""Understanding and Auto-Adjusting Performance-Sensitive Configurations"", ""url"": ""https://doi.org/10.1145/3173162.3173206"", ""series"": ""ASPLOS \u201918"", ""booktitle"": ""Proceedings of the Twenty-Third International Conference on Architectural Support for Programming Languages and Operating Systems"", ""author"": ""Wang, Shu and Li, Chi and Hoffmann, Henry and Lu, Shan and Sentosa, William and Kistijantoro, Achmad Imam"", ""ENTRYTYPE"": ""inproceedings"", ""location"": ""Williamsburg, VA, USA"", ""year"": ""2018"", ""keywords"": ""distributed systems, control theory, software configuration, performance"", ""ID"": ""10.1145/3173162.3173206"", ""pages"": ""154\u2013168"", ""address"": ""New York, NY, USA""}",,admin,10.1145/3173162.3173206,1,551.0,2
9,google_scholar,23,1684454400000,0,1,1,,,conference full paper,"Journal of Grid Computing,Springer",Transparent orchestration of task-based parallel applications in containers platforms,2018.0,,"Ramon-Cortes, Cristian and Serven, Albert and Ejarque, Jorge and Lezzi, Daniele and Badia, Rosa M","{""publisher"": ""Springer"", ""title"": ""Transparent orchestration of task-based parallel applications in containers platforms"", ""journal"": ""Journal of Grid Computing"", ""author"": ""Ramon-Cortes, Cristian and Serven, Albert and Ejarque, Jorge and Lezzi, Daniele and Badia, Rosa M"", ""number"": ""1"", ""ENTRYTYPE"": ""article"", ""volume"": ""16"", ""year"": ""2018"", ""ID"": ""ramon2018transparent"", ""pages"": ""137--160""}",,admin,,1,157.0,3
10,scopus,24,1684454400000,0,1,1,,,conference full paper,"Journal of Grid Computing,Springer",Transparent orchestration of task-based parallel applications in containers platforms,2018.0,,"Ramon-Cortes, Cristian and Serven, Albert and Ejarque, Jorge and Lezzi, Daniele and Badia, Rosa M","{""publisher"": ""Springer"", ""title"": ""Transparent orchestration of task-based parallel applications in containers platforms"", ""journal"": ""Journal of Grid Computing"", ""author"": ""Ramon-Cortes, Cristian and Serven, Albert and Ejarque, Jorge and Lezzi, Daniele and Badia, Rosa M"", ""number"": ""1"", ""ENTRYTYPE"": ""article"", ""volume"": ""16"", ""year"": ""2018"", ""ID"": ""ramon2018transparent"", ""pages"": ""137--160""}",,admin,,1,157.0,3
